,Date,User,Tweet
0,2023-03-27 08:04:34+00:00,GradskiMe,"Kao zdravstveni radnici, ali i kao roditelji izražavamo najoštrije kritike Ministarstvu zdravlja i svim nadležnim institucijama koje su dozvolile uvoz, a potom i pustile u promet spornu seriju vakcine BSŽ (proizvođač TORLAK-Beograd... https://t.co/OIPIat0Nkf"
1,2023-03-26 19:14:31+00:00,telegrafrs,"Doktorka o roditeljima čija su deca primila BSŽ vakcinu: ""Plakali su kad sam im rekla da će biti sve u redu"" https://t.co/sA8nGeGUpJ via @telegrafrs"
2,2023-03-25 11:57:26+00:00,nixonbelgrade,"@trikosh Da, milioni dinara kazne za kršenje opšte zabrane pušenja koja će udariti na ugostitelje, konobare, barmene i zauvek promeniti stil života ljudi dok bebe primaju rastvor umesto BSŽ vakcine. Renesansa!"
3,2023-03-23 18:54:21+00:00,ovdecamil2,POVUČENA BSŽ VAKCINA https://t.co/52AhHGbvzq
4,2023-03-23 18:15:00+00:00,OnlineDanas,"Da li je potrebno da se deca, koja su primila povučenu Torlakovu BSŽ vakcinu revakcinišu https://t.co/tr1R4zEAgk"
5,2023-03-23 15:37:00+00:00,Pobjedacg,"Konferencija za medije Ministarstva zdravlja
Povučenu BSŽ vakcinu primilo 660 djece, Ministarstvo tvrdi da nema razloga za brigu
https://t.co/izEAYOdSN8"
6,2023-03-23 14:40:03+00:00,OkvirNet,"Jedna serija „Torlakove“ BSŽ vakcine, koja se daje bebama protiv tuberkuloze, povučena je sa tržišta. Luka Dragačević, direktor ovog instituta koji decenijama proizvodi BSŽ vakcinu,...
https://t.co/JynRsoS1Lo"
7,2023-03-23 14:27:51+00:00,TanjugNews,"Direktor Instituta ""Torlak"": Serija BSŽ vakcina povučena nakon interne provere
➡️ https://t.co/gFRo5HJRME https://t.co/Qw31rEFNNd"
8,2023-03-23 14:25:00+00:00,OnlineDanas,"Direktor Torlaka objašnjava: Zbog čega je povučena serija BSŽ vakcine?
https://t.co/2mwVDrVcpQ"
9,2023-03-23 13:40:07+00:00,PVInformer,Ćorić: Povučenu BSŽ vakcinu primilo 660 djece; Mugoša: Nema razloga za zabrinutost https://t.co/XMnjvsAjLE
10,2023-03-23 12:40:16+00:00,MneMagazin,IJZCG: U Crnoj Gori 606 djece primilo spornu BSŽ vakcinu https://t.co/Pr89817Cyb
11,2023-03-23 09:20:55+00:00,SlavicaVeljkovi,"@SINNYBOY2 @DrBranimir @samo_mama2 @Petar1246 @DragoslavicM  @StrankaNarodna  Ubijaju nam tek rođene bebe u porodilištima sa bsž vakcina, roditelji su uznemireni i zabrinuti. I moja unuka je primila tu vakcinu koja je povučena. Hoce li neko odgovarati za ovo"
12,2023-03-23 07:45:51+00:00,Kreuzberg1882,"Davanje bebama pogrešnih BSŽ vakcina je, pored prava na abortus u Americi, samo posledica gaženja autonomije ljudskih bića i prava pacijenata, koje je uterivanje podvrgavanja eksperimentu-vakcinaciji protiv Covid 19 započelo."
13,2023-03-22 23:24:28+00:00,danijela_1244,BSZ vakcine !! Bebe koje su primile ovu vakcinu od decembra do marta su primile vakcine koje nisu ispravne . Ovo je drugi skandal  i ministarka Grujičić bi trebalo da se oglasi . https://t.co/RnG8HEawCI
14,2023-03-22 21:57:00+00:00,SlavicaVeljkovi,"Ko će da odgovara sto nam tek rođene bebe u porodilištu vakcinisu ne proverenim bsž vakcina protiv tuberkuloze? Koliko je beba do 16 marta primilo te vakcine koje su sada povučene. Medju njima je i moja unuka. Torlak treba zauvek zatvoriti, a ministarka da podnese ostavku hitno"
15,2023-03-22 20:51:28+00:00,PuruJarvi,"Ako sam dobro propratio ovo sa bsž vakcinama prvo smo imali bugarske gde sestre nisu znale da su dvokomponentne pa su deci davale fizioloski rastvor, p smo zamenili torlakovim koje sh same po sebi fizioloski rastvor?"
16,2023-03-22 19:36:09+00:00,andrejic_bojan,"MRŠ!
Ovo vam je drugi put da nekažnjeno izlažete decu neproverenim BSŽ vakcinama! 
Deca koja su primila BSŽ vakcinu, koju proizvodi Torlak i koja je povučena iz upotrebe, neće imati posledice niti neželjene reakcije, kaže dr Dragoslav Popović, konsultant za vakcine i imunizaciju."
17,2023-03-22 17:08:07+00:00,ksenologija,"@SlavicaPlavsic Doktorka, rekla bih da se u članku sugeriše da je izostanak stvaranja ožiljka posle BCG vakcine isključivi dokaz da se nisu razvila antitela. Ukoliko je ovo tačno, do kada se “prati BSŽ ožiljak” i u kom se uzrastu radi revakcinacija ukoliko nema ožiljka? https://t.co/Ugnb6EyUZ1"
18,2023-03-22 15:48:09+00:00,MneMagazin,MONTEFARM: Torlakove sporne serije BSŽ vakcine povučene sa crnogorskog tržišta https://t.co/f7gZWomTVH
19,2023-03-22 14:56:39+00:00,markovic967,"Šta kaže struka za ovo.Jesmo li i dalje retardirani zato što ne verujemo vakcinama u Srbiji.

Hitno povučena „Torlakova“ BSŽ vakcina za bebe https://t.co/xpEOcaP8yR"
20,2023-03-22 14:44:41+00:00,BizLifePortal,Povučena serija je zamenjena novom i nije došlo do nestašice BSŽ vakcine  via @BizLifePortal https://t.co/UblHwEc7sc
21,2023-03-22 14:23:58+00:00,GradskiMe,"https://t.co/NYSqUzVLBN 
Sporne serije BCG (BSŽ) vakcine Instituta za virusologiju, vakcine i serume Torlak povučene su sa crnogorskog tržišta, saopšteno je iz Montefarma."
22,2023-03-22 13:59:06+00:00,NedeljnikVreme,"Usled ""minimalnog odstupanja od strogih zahteva specifikacije leka"", Torlak je povukao BSŽ vakcinu. 

https://t.co/rY9sUA1ujU"
23,2023-03-22 13:45:28+00:00,DirektnoRS,"Povučena serija je zamenjena novom i nije došlo do nestašica BSŽ vakcine
https://t.co/CbJ5mXuIWW"
24,2023-03-22 13:17:34+00:00,ruskeynp,"Dok se bebama daju neproverene BSŽ vakcine lošeg kvaliteta, kapiram da će ova uboga klošarka nastaviti da priča o zabrani pušenja u lokalima? https://t.co/9ikk30BoIR"
25,2023-03-22 13:02:17+00:00,EKSPRESVESTI,"Povučena ""Torlakova"" BSŽ vakcina https://t.co/OhXST0RW4w"
26,2023-03-22 13:02:01+00:00,Vijestime,Torlakove sporne serije BSŽ vakcine povučene sa crnogorskog tržišta https://t.co/Nfi9FCkvAn #društvoCG
