,Date,User,Tweet
0,2023-03-27 15:30:00+00:00,OnlineDanas,"Lekari: Bebe koje su primile BCG vakcinu iz povučene serije zaštićene od tuberkuloze
https://t.co/7Oe8TD8bRe"
1,2023-03-27 06:42:19+00:00,DW_Srpski,"Čitava serija BCG vakcine koju su primile novorođene bebe od decembra do sredine marta, povučena je zbog nedovoljnog imunog odgovora na tuberkulozu. Reporterka DW istražuje da li roditelji treba da brinu zbog toga.  https://t.co/PjVMphv5B3"
2,2023-03-26 20:43:19+00:00,SlavicaPlavsic,"@tvnova_s Izviite poštovana deco! 
Ni Utisak nedelje, ni lični utisak nijednog od tri uvažena gosta, ni jedna jedina reč o hitnom povlačenju BCG vakcina sumnjivog kvaliteta koju je primilo preko 13 000 beba!?
 Za našu decu!
Teško mi je da poverujem. 
A vi roditelji-ćutite i dalje !?"
3,2023-03-25 21:07:49+00:00,SlavicaPlavsic,"@bicca23 vodila polemiku na teme o kojima znam malo ili ništa. O ovoj temi znam mnogo i mogla bih da razgovaram sa domaćim i svetskim eksperima za TB, na stručnim sastancima. Ovo nije mesto gde bih objašnjavala zašto je važno da bebe primaju BCG vakcinu. Još samo podatak da najviše⬇️"
4,2023-03-25 21:03:23+00:00,SlavicaPlavsic,"@bicca23 ""jer uvek sa tom vakcinom ima nekih problema"". BCG vakcina se daje već sto godina, ni u periodu ratova i sankcija nije bilo problema u vakcinaciji ovom vakcinom. Dakle, nije problem u vakcinama nego na drugim nivoima. Ja zaista poštujem vaše zanimanje, koje god da je i ne bih"
5,2023-03-25 18:10:54+00:00,bicca23,"@Wolfs_daddy @SlavicaPlavsic Ok, koje to “ali” objašnjava da je u ex komunističkim zemljama obavezna BCG dok najveći deo EU ne daje tu vakcinu bar 25 godina, a neke i punih 50. I novije EU članice je napuštaju (npr SLO). I HNS kaže gde je incidenca &gt;40/100k, a mi smo debelo ispod"
6,2023-03-25 16:44:13+00:00,bicca23,"@SlavicaPlavsic BCG primio u Insitutu za Neonatologiju) su rekli da reakcija često zavisi od ""serije"" vakcina, i da u nekim periodima deca češće imaju reakciju jer je takva ""serija"". Pozdrav i sve najbolje"
7,2023-03-25 16:08:29+00:00,rada_milenkovic,@bicca23 @SlavicaPlavsic Drago mi je kada tate komentarisu to znaci da su upuceni u odgajanje svoje dece.Ovo sto se izdesavalo sa BCG vacc. je neodgovorno i moglo je da bude opasno ali na srecu https://t.co/VGCCIQvLM2 vacc je jedna od najvaznijih  vakcina.Roditeljima se prilikom aplikacije sve objasni
8,2023-03-25 16:03:44+00:00,Snezana464,"@SlavicaPlavsic @bicca23 BCG vakcina se primala odavno,nikada nisam sumnjala i uvek sam decu(sada odraslu) a i unuke vodila na vreme,i zadovoljna sam,cak sam je i ja primila,jer u moje vreme je bila samo ta vakcina i pelcovanje,protiv VV koliko se secam!"
9,2023-03-25 10:43:01+00:00,bojan_0409,"@N1infoBG Vratila se na fabricka podesavanja. Zgodno je opet srati o ovome posto su vec drugi put za par meseci zasrali sa BCG vakcinama, a i bolnice ostaju bez lekara po unutrasnjosti Srbije. A i fra-nem sprazum sa mrskog zapada."
10,2023-03-24 22:25:39+00:00,SlavicaPlavsic,"Svako ima pravo na mišljenje. Tačnu istinu ne znamo, ali je BCG vakcina jako jeftina da bi neko zaradio na njoj. Radi se o zastarelosti opreme, nedostatku stručnjaka na Torlaku, nepouzdanoj kontroli Alims-a, nesavesnom radu, netransparentnim podacima, nemuštim objašnjenjima itd"
11,2023-03-24 22:02:16+00:00,SlavicaPlavsic,"16. rođendana. BCG vakcine ima samo u porodilištima i ne daje se u pojedinačnim dozama. Ne očekujem da će Ministarstvo zdravlja napraviti neku organizaciju vakcinacije beba bez BCG ožiljka. 
Molim sve roditelje da prate razvoj ožiljka svoje bebe i ako bude trebalo da se ponovo⬇️"
12,2023-03-24 21:45:47+00:00,SlavicaPlavsic,"11. zato što nema dovoljnu aktivnost.U njoj nema ničeg štetnog, ali deca nisu dovoljno zaštićena.Opet nezvanično,zastareo je tzv. ""liofilizator"", koji se koristi u proizvodnju BCG vakcina, a nabavka novog nije tako skupa. 
Ovo nije prvi slučaj problema sa BCG vakcinama u Srbiji⬇️"
13,2023-03-24 21:33:11+00:00,SlavicaPlavsic,"8.kao dokaz o uspešnosti BCG vakcine. U malom procenatu dece, 5-6 odsto, koja su pravilno primila BCG vakcinu, ne dolazi do formiranja vakcinalnog ožiljka. Roditelji se zbog toga pitaju da li je potrebno ponoviti vakcinaciju? Po važećim protokolima, deca do 12 meseci mogu ⬇️ https://t.co/RzyczlHaJY"
14,2023-03-24 21:27:55+00:00,SlavicaPlavsic,"5.od broja živih bacila u njoj. BCG vakcina se čuva  u tamnim bocama, na temperaturi od 2 do 4 stepena Celzijusovih.
Normalna postvakcinalna reakcija ima svoj karakterističan tok. Najpre nastaje postinjekciona papula (5-7 mm),koja iščezava za nekoliko sati. U naredne dve do tri⬇️ https://t.co/OLFovogRRP"
15,2023-03-24 21:22:31+00:00,SlavicaPlavsic,3.bugarskog proizvođača koja je proverena od strane ALIMS-a i visoko je kvalitetna. Bugarska je ozbiljan proizvođač BCG vakcina i izvozi ih u sve države Evrope u kojima se ova vakcina daje kao obavezna ili preporučena. Danas se BCG-vakcina. Danas se BCG-vakcina proizvodi u ⬇️
