,Date,User,Tweet
0,2023-03-27 12:10:02+00:00,UNSinfo,"Репрограм је предложила одборничка група СНС-а уз образложење да је отежаном пословању НТВ допринела и „епидемија вируса ковид 19“.
https://t.co/0FL2bskwnJ"
1,2023-03-23 10:23:09+00:00,djuvecera,Знам више људи оболелих од короне сада него за време исте. Додуше доктори су сад знатно опуштенији.
2,2023-03-19 12:13:54+00:00,Igor29399968,"Каже...700 заражено,11 умрло?!..корона пресек"
3,2023-03-19 10:51:38+00:00,Nolwithattitude,"@Ikeanica @SStrudla Па, како сад то?
Па, ви сте се вакцинисали 5,6 пута најмање.
Ми, који се нисмо вакцинисали,
нисмо били заражени ниједном за три године, а код вас и даље обитава корона."
4,2023-03-15 09:48:52+00:00,toshex,"Значи пред корона имаше родители против вакцини за сипаници и епидемија на сипаници кај мали деца. 

После дојде корона и истиве антивакс против вакцини за корона. 

Шо сеа туберкулоза шо читам и тоа ли ќе го враќаат????

Епа мајке му. Крцкам заби веќе. https://t.co/VOBwCupBXy"
5,2023-03-12 21:11:49+00:00,rtv_kragujevac,"Преминула три пацијента, корона вирусом заражено још 488 особа https://t.co/tdLeH0sxJo"
6,2023-03-10 14:30:31+00:00,Bane95382368,@OnlineDanas Коме смо ми веровали у епидемији короне? Ово не би зјавила моја баба Кадивка!
7,2023-03-10 12:36:59+00:00,starijazena,"@GibulovicS Је ли ово нормално?! Са пет-шест оболелих, прогласили пандемију; слика ковчега (из Лампедузе а не из Бергама), обишла свет, затварања, маске, црвенезоне, дистанце, рукавице, тровање дезифицијентима, космонаутски скафандери по болницама, ковид болнице; страх, ст"
8,2023-03-02 21:23:03+00:00,rtv_kragujevac,"Преминуло девет пацијената, корона вирусом заражено још 906 особа https://t.co/IO6Aj4TQfm"
9,2023-02-27 10:02:28+00:00,koronars,Још шест особа у Српској заражено вирусом корона https://t.co/hvYaYTlbQ0
10,2023-02-24 21:35:32+00:00,VrrrH,У Србији од короне сваки дан умре 10% кобајаги оболелих. Умиру стари људи што је нормално.
11,2023-02-22 12:45:09+00:00,JavnoZdravljeRS,"""Колика је важност адекватне и правовремене реакције на епидемије и друге јавноздравствене пријетње и ванредне ситуације те колику улогу има сарадња са сусједним државама са посебним освртом на ковид 19"" тема је конференције која ће се одржати) 23. 2. 2023 година. ⬇️"
