,Date,User,Tweet
0,2023-03-27 20:51:12+00:00,tibegin,"@Branka0505050 @Nika_Samotrake @brugi19 @gujkan Eno ih u bolnicama?

A da, izvini, vi slusate Sladju Velkov kako korona ne postoji :D

U ovom momentu imas oko HILJADU zarazenih u bolnicama u SR.

E sad postoji nacin da se poseres na taj podatak, da na primer kazes ""ma to sve laziraju"" i da zavrsimo odma ;)"
1,2023-03-27 20:44:04+00:00,TihTri,Zvanična evidencija preminulih od epidemije nije tačna. Lončar je još to ustanovio na lažnim osnovama #COVID19 ⤵️
2,2023-03-27 16:32:12+00:00,CroatiaCovid,Pregled tjedne promjene broja zaraženih po županijama. https://t.co/JvrLzxvUlD
3,2023-03-25 13:47:20+00:00,Slaana65143394,"@Vasabio4 I oko 1000 zaraženih svakodnevno u Srbiji.
Nažalost  Covid  još uvek
uzima danak."
4,2023-03-25 13:06:39+00:00,Kontakt_Kosovo,Na Kosovu 16 novih slučajeva zaraženih korona virusom - Radio Kontakt Plus https://t.co/jL2Q5S5jhF
5,2023-03-25 10:11:51+00:00,boste711,"@SpletnaMladina Samo bila je korona, epidemija in če bi bili pošteni, bi napisali, da je bilo ob odhodu Šarca vse prazno, prazna skladišča, še maske je poklonil naprej!  Delali so! Kaj so pa naredili Podganarjevi, da so si dvignili plače? NIČ, NASLOVILI so probleme!"
6,2023-03-24 03:53:55+00:00,alexmne1,"Samo se setite pocetka covid epidemije, i koliko je tadasnja vlast ucinila napora da svakog drzavljanina CG , a i susednih drzava, vrati doma i iz najdaljeg dela sveta. 

Za razliku od ovih. JaDova. https://t.co/h0uHI8TYVu"
7,2023-03-23 16:14:36+00:00,hrcimrci,"@Marjanmark @MervicVanda Kdaj bodo covid bedaki doumeli, da je bila epidemija."
8,2023-03-23 13:05:15+00:00,frx1981,@radicbozo81 Nema ni odgovornosti za Covid potvrde uz pomoc kojih su zaraženi ulazili u bolnice i raznosili virus na najosjetljivijem mjestu. Jel bitnije tu utvrditi odgovornost ili u govoru Miletica koji nema nikakvu moc? Hajde ne budimo licemjeri
9,2023-03-23 10:13:26+00:00,PeterMalovrh,"@ProdnatoNebo @iviv82582960 Nostradamus se z mano glede covid epidemije in razmer v ruskem svetu res ne more primerjati. Bil bi začetnik. A on ne bi kar nekaj pljuval čez mene, ampak bi se priučil in potem dajal argumente."
