Date,User,Tweet
2023-02-21 21:58:33+00:00,tango_alma,"Treba mi info, ako neko zna, gdje se vadi potvrda o MMR vakcinaciji i koja je procedura? Za nas koji više nismo dobrodošli u vrtićima i nemamo pedijatra 😅
Svaka info (i/ili rt) je dobrodošla, hvala ❤️
Standardno se niko ne javlja na telefone po državnim ustanovama 🙄
#CrnaGora"
2023-02-19 15:49:56+00:00,Wolfs_daddy,"@zakonzemuna Jeste li čuli da je, recimo, Nemačka 2019. godine donela zakon o obaveznoj MMR vakcinaciji? Kazna 2500 evrića ko neće.
Kad postoji jasan epidemiološki razlog svaka država ima zakonsko pravo i OBAVEZU da proglasi obaveznu vakcinaciju kao jednu od mera sprečavanja širenja bolesti."
2023-02-19 11:50:27+00:00,konfliktna1,"@sasapokimica @biti_zdrav Meni je samo žao što o takvim pitanjima kao što je vakcinacija imate pravo da nešto razmišljste i smatrate i odlučujete. Ne samo kovid, evo na primer mmr isto. Jel' i Zemlja ravna? Jel' Sunce postoji? Blek Rok će nas uništiti sve?"
2023-02-18 10:38:03+00:00,Nemanja91280543,"@smiljkovic_76 Obavezna vakcinacija je u redu. Nije trebala da vodi dete na mmr dok nije bilo savrseno zdravo. Oboje dece smo vakcinisali, ali smo odlagali vise puta zbog prehlade i slicnih stvari."
2023-02-17 10:30:26+00:00,MneMagazin,DZPG: Vanredna vakcinacija MMR vakcinom za vikend https://t.co/kxFxd8Yxcz
2023-02-17 10:28:35+00:00,PortalAnalitika,"Vanredna vakcinacija MMR vakcinom za vikend

https://t.co/kIuTiiidcm - Portal Analitika"
2023-02-14 18:52:34+00:00,SDPCG,⭕️ @AdnanStrikovic: Crna Gora premalo ulaže u prevenciju. Moramo da pričamo o tome zašto vakcinacija MMR vakcinom nije na zadovoljavajućem nivou. Moramo građanima objasniti da se niti MMR niti druge vakcine ne mogu dovesti u vezu sa autizmom. https://t.co/9O7k60Y3V3
2023-02-14 16:36:11+00:00,Radio021,"#novisad #srbija Novi Sad je, prema zvaničnim podacima, grad koji je u Srbiji zabeležio najgori obuhvat u vakcinaciji dece MMR vakcinom.

https://t.co/g81bip59sP"
2023-02-13 18:24:38+00:00,sanjorla,"To što je obuhvat vakcinacije đece MMR vakcinom naglo skočio kad je đavo pokucao na vrata, govori da sve vrijeme antivax kampanje glavni problem nijesu roditelji već propusti u komunikaciji između roditelja i sistema i da bi na tome trebalo detaljno raditi ubuduće."
2023-02-11 10:38:11+00:00,GradskiMe,https://t.co/zHL36l9Yu1 Zadatak ovog tima je pravovremeno sprovođenje aktivnosti na upoznavanju roditelja/staratelja maloljetne djece o značaju i mogućnostima rutinske imunizacije sa posebnim osvrtom na vakcinaciju MMR vakcinom.
