,Date,User,Tweet
0,2023-02-21 14:41:33+00:00,bbcnasrpskom,"Posle Smedereva i Novog Sada, male boginje registrovane su i u Beogradu, virus je otkriven kod bebe uzrasta četiri meseca

Broj obolelih od malih boginja u porastu je širom sveta - zbog čega? Zbog ovih osam mitova 👇

https://t.co/RlzpvQ20XL"
1,2023-02-21 14:01:00+00:00,Blic_online,"MALE BOGINJE POJAVILE SE I U BEOGRADU ""Batut"": Među obolelima i beba od 4 meseca, ukupan broj zaraženih u Srbiji porastao na 36

https://t.co/yei8t9Dp5J"
2,2023-02-20 22:10:46+00:00,mirnakaobubica,"I beba od 4 meseca 😡😡😡

Batut: Male boginje registrovane i u Beogradu, u Srbiji dosad 36 obolelih 

https://t.co/ViTq2x7U8M"
3,2023-02-20 20:53:16+00:00,EuronewsSerbia,"Prvi put od pojave epidemije su male boginje registrovane i u Beogradu
https://t.co/64QPW3lqXK"
4,2023-02-19 08:58:16+00:00,fanijela,"@RaRZJevtovic Drugarica u Švajcarskoj sin joj ima ona Hrvatica pa to zovu ""kozice"" kaže da je to normalno svake godine neka mini epidemija  sva 3 sina joj preležala i tamo se ne drami. Nisu ucenjeni za školu i vrtić da im deca prime mmr, to se uvaljuje preko korumpiranih vlada sirotinji."
5,2023-02-12 12:36:21+00:00,n2vesti,Srbiji preti epidemija malih boginja (morbila) – šta su male boginje i koji su uzroci moguće nove epidemije? https://t.co/eoJBKn9P9a преко корисника @n2vesti
6,2023-02-11 15:20:41+00:00,SlavicaPlavsic,"@DirektnoRS 9.Pojavila se kao posledica jako niskog obuhvata MMR vakcinom, 2017. i 2018. godine, kada je oko 5.800 osoba obolelo, a 15, nažalost, preminulo. Iz istog razloga se u januaru 2023. godine pojavila epidemija morbila, za sada lokalizovana na dva grada: Smederevo i Novi Sad, sa⬇️ https://t.co/610mUQO06z"
7,2023-02-11 04:06:10+00:00,MrRealno,"@OnlineDanas Brte, koliko si zaglupeo ovaj narod i napravio od njega retarde, imamo ponovo slučajeve tuberkuloze, boginja, raste broj mladih  zaraženih sifilisom...Kapiram dok odete, pojaviće se bubonska kuga, kolera i velike boginje."
8,2023-02-10 21:40:46+00:00,fanijela,Zasto to samo Kruševac upozorava roditelje da se obustavlja vakcinacija mmr zbog epidemije malih boginja ako postoji opasnost za decu koja se vakcinišu zašto to ne znaju svi.
9,2023-02-05 22:45:42+00:00,atza_jovicic,"@Branka0505050 @ver_tiffany @joovanica88 Preporucujem citanje one knjige. Iz nje bi se naucilo da su male boginje tek relativno skoro postale ""decja bolest"". Ranije su se epidemije uglavnom javljale kod regruta (posto su se tek tada nalazili u vecim kolektivima). U to doba nije bilo vrtica. Tek kasnije postaju ""decje"""
10,2023-02-05 18:30:48+00:00,gamdoo,"@AlbaGreaca @JohnMcClaneSerb Naravno da nisu generacije pre 1970. preležale male boginje, jer se nisu stalno ponavljale epidemije. I danas godišnje oboli 30 miliona, umre 1 milion, a oko 60.000 ostane slepo. Kapiram ja da je lako lupetati avax gluposti, ali brojevi ne lažu"
11,2023-02-05 11:25:38+00:00,joovanica88,"Dete iz Novog Sada koje nije vakcinisano iz medicinskih razloga protiv morbila se leči trenutno u UDK.
To dete, nažalost, ima i ozbiljne komorbiditete.

Obuhvat MMR vakcinom u NS je samo 25%.

Da ima kolektivnog imuniteta ovo dete koje nije smelo da primi vakcinu ne bi obolelo."
12,2023-02-05 10:55:17+00:00,Tvzonaplus,"U NIŠU POVEĆANO INTERESOVANJE ZA MMR VAKCINU - https://t.co/W80IAvQlGh - Do 3. februara u Srbiji je registrovano 26 obolelih od malih boginja. Dvadeset pet slučajeva zabeleženo je u Smederevu, a jedan je potvrđen коd nеvакcinisаnog devetogodišnjeg deteta iz Nоvоg Sаdа. 

U N... https://t.co/ueb3Lr37uu"
13,2023-02-03 21:02:10+00:00,verci58,@plandemiolog_ Za varicele ili ovčije boginje nema vakcine i one se lako prebole. Ali da ne bi došlo do epidemije mora 95%populacije biti vakcinisano. Zaraženi može ubiti nečije malo dete. Mada znam da dzabe pišem https://t.co/8Vn05mp4TT
