,Date,User,Tweet
0,2023-02-17 21:18:29+00:00,RTVojvodine,"Родитељи, вакцинишите децу ММР вакцином и спречите епидемију пред вратима! https://t.co/XTCIUmeRet #rtv #rtvojvodine #vest"
1,2023-01-19 10:15:28+00:00,vezakvezla,"не подржавам избегавање вакцина, посебно ммр, треба причати о последицама тих болести по децу и чињеници да се број оболелих повећава, али не ширите толику панику 

извештај за болести за које постоје вакцине https://t.co/4YWARPzXXI"
2,2023-01-17 21:37:04+00:00,zanazivaljevic,"Откад мале богиње и епидемија!?!
Од 81, кад је уведена вакц.
Шта је с имунитетом наше деце?"
3,2023-01-17 10:21:57+00:00,RTVojvodine,"Српско лекарско друштво: Заштитите децу ММР вакцином без оклевања, Србија на прагу епидемије
https://t.co/FF3mNHsdab"
4,2023-01-15 15:36:29+00:00,Branislav1978,"@Malaodskandal10 @SMSVaga @Totoromacak У ЕУ годишње буде 50 000 случајева. У Јужној Кореји 25000, у Јапану 12000. Великих богиња буде 0 случајева. Велике богиње су искорењене вакцином и строгим и опсежним карантином заражених и свих контаката. Постојао је трокружни систем у односу на место избијања заразе...⬇️"
5,2023-01-14 13:21:04+00:00,Jovana1244,"одговоран за ""враћање"" микроба који чуче иза ћошка, где су епидемије заушки и црвенке које исто треба да спречи ММР вакцина?

6. Уколико су сада оболела деца која  још нису ""стасала"" за вакцину ММР, шта је са имунитетом њихових мајки који је требало да их заштити 👇"
6,2023-01-14 07:36:48+00:00,haberiskelem,"Мале богиње опет у Србији: Заражено најмање четворо деце, сва невакцинисана
Мале богиње потврђене су код четворо деце и једне одрасле особе у Смедереву, а за још шест особа се чекају лабораторијски резултати
Görüşünü Bildir https://t.co/1rKnxddJTF"
7,2023-01-13 15:36:35+00:00,IfX0NsFyHIaZbnm,@RomilBg @baneraicevic @GospodinNebojsa Или си био вакцинисан или су биле овчије. На жалост тек кад буде епидемија људи ће схватити шта су мале богиње. Нисмо их касније добијали или врло ретко због масовне вакцинације. Мој колега рече то исто и ја мо кажем исто. Проверио и биле су рубеоле које подсећају на мале.
8,2023-01-13 13:31:46+00:00,VaseljenskaTV,"Ветеринар Шеклер постао и специјалиста и за мале богиње, прети новом епидемијом! https://t.co/IwLhDLunot"
9,2023-01-13 13:31:10+00:00,VaseljenskaTV,"Ветеринар Шеклер постао и специјалиста и за мале богиње, прети новом епидемијом! https://t.co/IwLhDLuVe1"
10,2023-01-13 12:20:30+00:00,vesnaveizovic,"Ево га, ветеринар Шеклер као специјалиста и за мале богиње код деце, прети нам епидемија свићемодапомремо!"
11,2023-01-13 10:23:05+00:00,tetkaMatilda,"@ROLERSproject Мене занима имајући у виду да је ММР за морбиле, заушке и рубеоле, како само се јавља епидемија морбила, а не остале 2 болести?"
12,2023-01-12 22:00:09+00:00,_artistic_soul,"@MalcolmMcX @Jovana1244 Ствара се лажна епидемија па се врши притисак да се невакцинисана деца вакцинишу ММР вакцином, уз претњу центара за социјални рад.

Док постоје негативне реакције на вакцину треба да постоји СЛОБОДА ИЗБОРА ПРИЛИКОМ ВАКЦИНАЦИЈЕ!!!
Вакцинација мора да буде добровољна као и у ЕУ"
13,2023-01-12 21:43:44+00:00,tetkaMatilda,"@beolily @svevidojka @biljanicaaa Какав је то закључак, слаб одазив на ММР, мора да је и на БСГ. За твоју информацију обухват БСГ је 98.2%. Тако да то што нападате тзв. антиваксере је чиста злоба. И ниједна вакцина не пружа 100% заштиту нити за цео живот. И сваке године има оболелих од туберкулозе."
14,2023-01-12 19:02:19+00:00,Jovana1244,"Доказ да медији праве синхронизовану хистерију на дугме

Током 2020.  било је 3 случаја оболевања од болести које треба да превенира ММР вакцина, али нити смо за то знали, нити се развила масовна епидемија.

Током 2021.било је пет случајева оболевања од ових болести и ништа 👇 https://t.co/efX2wQgpcB"
15,2023-01-12 10:04:09+00:00,tetkaMatilda,"@Magarac8 И даље ми није јасно, како се не враћа вариола вера, а нико се не вакцинише против ње? 
Како увек имамо епидемију морбила, а не заушки пошти је ММР вакцина против морбила, заушки и рубеола? Значи, ширењем панике и лов на децу."
