,Date,User,Tweet
0,2023-03-31 13:17:02+00:00,N1infoBG,"„MMR vakcina ne izaziva autizam, roditelji da ne odlažu vakcinaciju“ https://t.co/Yg5K101uIm"
1,2023-03-11 15:13:55+00:00,kocic21,"@pjevaax Zena je skroz realna. Poenta tvita sto drzava stalno kuka kako se pojavile boginje malo dece vakcinisano MMRom. A poslali inspekcije po DZ i pritegli lekare da salju pozive za vakcinaciju.Umesto malo da informisu roditelje koja vakcina,cemu sluzi,zasto je dobra za dete i okolinu."
2,2023-03-10 11:28:09+00:00,CKCG_MRC,"📊 Crveni krst Crne Gore je u saradnji sa agencijom Ipsos i @ijzcg u okviru projekta ,,Aktivnosti u vezi sa imunizacijom protiv COVID-19 virusa"" finansiranog od strane @ifrc prošle godine sproveo istraživanje čije rezultate u vezi MMR vakcine vam danas predstavljamo. 💉 https://t.co/Yl9y27mil1"
3,2023-03-09 15:45:28+00:00,kocic21,"""Stvari se ne menjaju preko noći zabranama i žestokim kažnjavanjem,vec obrazovanjem."" @SlavicaPlavsic 
Bas tako. Dobili smo poziv za vakcinaciju bebe 15m.Gde je zaokruzeno OBAVEZNO I KAZNA OD 20 DO 50K.Nigde naveli nisu da je MMR,cemu sluzi, zasto je dobro za dete da je primi..."
4,2023-03-05 20:47:33+00:00,zrnopameti,Vakcinacija u Japanu: djeca primaju redovne vakcine i MMR https://t.co/FNDpJXQpzQ
5,2023-03-03 11:25:13+00:00,dhemela,Apel za vakcinaciju MMR vakcinama https://t.co/Pia3w4Y9xz преко корисника @YouTube
6,2023-03-01 10:45:38+00:00,radiogalaksija,"...  drugu dozu MMR vakcine, koliki treba da bude obuhvat vakcinacije da bi se suzbile epidemije i da bi se male boginje iskorenile, itd."
7,2023-03-01 10:45:37+00:00,radiogalaksija,"... od 22. 2. 2023. godine, zvanično je registrovano 39 slučajeva zaraze. 
U ovoj epizodi smo pričali o malim boginjama i morbili virusu, vakcinaciji i zaštiti od ove (i drugih zaraznih bolesti), MMR vakcini i epidemijama malih boginja. Pričali smo i o kovidu i imunologiji..."
8,2023-03-01 10:45:36+00:00,radiogalaksija,"...  unazad (MMR ili MMRV vakcine), nisu. Pritom, ne samo što nisu iskorenjene, nego su epidemije ponovo počele da se pojavljuju, jer je obuhvat vakcinacije mali, počev od dokazane prevare i podvale Endrjua Vejkfilda u časopisu Lanset iz 1998. godine, do antivakcinacijskih..."
9,2023-02-28 09:41:37+00:00,radiogalaksija,"... od 22. 2. 2023. godine, zvanično je registrovano 39 slučajeva zaraze. 
U večerašnjoj epizodi ćemo o malim boginjama i morbili virusu, vakcinaciji, MMR vakcini i epidemijama malih boginja razgovarati sa doc. dr Eminom Milošević, imunološkinjom sa Instituta za mikrobiologiju..."
10,2023-02-28 09:41:36+00:00,radiogalaksija,"...  decenijama unazad (MMR ili MMRV vakcine), nisu. Pritom, ne samo što nisu iskorenjene, nego su epidemije ponovo počele da se pojavljuju, jer je obuhvat vakcinacije mali, počev od dokazane prevare i podvale Endrjua Vejkfilda u časopisu Lanset iz 1998. godine, do ..."
11,2023-02-26 18:57:00+00:00,Blic_online,"""PONOVO ĆEMO IMATI EPIDEMIJU MALIH BOGINJA"" Lekar upozorava na katastrofalnu situaciju u Srbiji sa vakcinacijom dece MMR vakcinom

https://t.co/JQqW7rt76Y https://t.co/KRAxYvoyGT"
12,2023-02-24 19:40:37+00:00,SlavicaPlavsic,"‼️Nepoznat vakcinalni status! Nadam se da se ovde mogu naći odgovori na većinu pitanja i nedoumica u vezi sa MMR vakcinacijom odraslih.
-šta da rade rođeni posle 1971 ?
- ko može da primi vakcinu o trošku RFZO -gde može da se kupi i primi  MMR vakcina https://t.co/No9ee7PMaj"
13,2023-02-24 10:58:11+00:00,GradskiMe,"https://t.co/brcyXPfPLj 
Dom zdravlja Podgorica (DZPG) organizovaće i ovog vikenda vanrednu vakcinaciju MMR vakcinom u Domu zdravlja (DZ) Stara Varoš."
