,Date,User,Tweet
0,2023-02-19 08:58:16+00:00,fanijela,"@RaRZJevtovic Drugarica u Švajcarskoj sin joj ima ona Hrvatica pa to zovu ""kozice"" kaže da je to normalno svake godine neka mini epidemija  sva 3 sina joj preležala i tamo se ne drami. Nisu ucenjeni za školu i vrtić da im deca prime mmr, to se uvaljuje preko korumpiranih vlada sirotinji."
1,2023-02-11 15:20:41+00:00,SlavicaPlavsic,"@DirektnoRS 9.Pojavila se kao posledica jako niskog obuhvata MMR vakcinom, 2017. i 2018. godine, kada je oko 5.800 osoba obolelo, a 15, nažalost, preminulo. Iz istog razloga se u januaru 2023. godine pojavila epidemija morbila, za sada lokalizovana na dva grada: Smederevo i Novi Sad, sa⬇️ https://t.co/610mUQO06z"
2,2023-02-10 21:40:46+00:00,fanijela,Zasto to samo Kruševac upozorava roditelje da se obustavlja vakcinacija mmr zbog epidemije malih boginja ako postoji opasnost za decu koja se vakcinišu zašto to ne znaju svi.
3,2023-02-05 11:25:38+00:00,joovanica88,"Dete iz Novog Sada koje nije vakcinisano iz medicinskih razloga protiv morbila se leči trenutno u UDK.
To dete, nažalost, ima i ozbiljne komorbiditete.

Obuhvat MMR vakcinom u NS je samo 25%.

Da ima kolektivnog imuniteta ovo dete koje nije smelo da primi vakcinu ne bi obolelo."
4,2023-02-05 10:55:17+00:00,Tvzonaplus,"U NIŠU POVEĆANO INTERESOVANJE ZA MMR VAKCINU - https://t.co/W80IAvQlGh - Do 3. februara u Srbiji je registrovano 26 obolelih od malih boginja. Dvadeset pet slučajeva zabeleženo je u Smederevu, a jedan je potvrđen коd nеvакcinisаnog devetogodišnjeg deteta iz Nоvоg Sаdа. 

U N... https://t.co/ueb3Lr37uu"
5,2023-02-04 14:07:16+00:00,Novi_BGD,"@milos1936 @evildogz @majamaric Miloše, odgovaram evil-u.
Što se tiče MMR, ti si siguran, verovatno si preležao pa te baš briga za druge. Ako uhvati male boginje u kasnijim godinama auuu muke ili kancer."
6,2023-02-03 14:00:25+00:00,No1Livz4Ever,"@MIL0SEVIC @XXLTulip Šarlah je zarazna bolest protiv koje se deca ne vakcinisu. Bilo ga je i biće ga. Ne bih ga svrstavao u lgrubu vakcinom preventabilnih bolest. Male boginje - morblili, rubeola, zauske (mumps) je neverovatno lako sprečiti davanjem dve doze MMR vakcine."
7,2023-02-03 13:05:06+00:00,Deda07275091,"2020. i 2021. godine u Srbiji su registrovane najniže vrednosti obuhvata MMR vakcinom u poslednjih 20 godina. U poslednjoj epidemiji malih boginja u Srbiji, tokom 2017. i 18. godine registrovano oko 5.800 obolelih, od kojih je 93% bilo nevakcinisano ili nepotpuno vakcinisano."
8,2023-01-31 08:53:07+00:00,Blic_online,"Broj zaraženih malim boginjama u Srbiji svakodnevno raste, a na epidemiju ove bolesti lekari već godinama upozoravaju zbog najnižeg obuhvata MMR vakcinom u prethodnih 20 godina!

https://t.co/dkNGfNAKOa"
9,2023-01-30 14:48:17+00:00,RSE_Balkan,"Smederevo je postalo žarište malih boginja (morbila) u Srbiji.

Sedamdeset kilometara istočno od Beograda proglašena je epidemija, a do 27. januara registrovano je 18 obolelih. Većina nije primila MMR vakcinu koja štiti od te bolesti. https://t.co/At9yd9IDZX"
10,2023-01-27 19:31:18+00:00,uki93291508,"@biljana_parapid @VojislavaNesko1 @slobadoktor Kovid prošao, idemo dalje. 
Za sve postoji uzrok i posledica. Nisam zdravstveni radnik, ali dete jedne doktorke i dvoje od med.sestre školskog uzrasta,  vakcinisani sa MMR, su u poslednjih mesec dana preležali mobile i jedno od njih ovčije boginje.
Meso iz Lidla je veće zlo☝️"
11,2023-01-26 21:06:33+00:00,Tvzonaplus,"MALE BOGINJE I MMR VAKCINA - PUT DO ZDRAVLJA 26.1.2023 - https://t.co/TQKyGEdGjW - Gost emisije:
dr Nela Živković - pedijatar Dom zdravlja

https://t.co/Wv43j4q4Ik emisije:
dr Nela Živković - pedijatar Dom zdravlja

https://t.co/RKZYR3thtI https://t.co/5tibaaZ8Kv"
12,2023-01-26 14:48:44+00:00,mlekce,"@tanja_henry Čekaj, na tvit o COVID vakcinama idiot je, sad, kad su opet krenule male boginje, došao da lupeta protiv MMR vakcine?🤦‍♀️"
13,2023-01-25 09:17:55+00:00,SerenityFirefl,"Blagotvorno za imunitet je, znaci, primiti 5 vakcina protiv kovida, protiv majmunskih boginja, sada i mmr za boginje.... https://t.co/F9IJPU4r0N"
14,2023-01-24 17:52:47+00:00,Insajder_net,Pedijatar prof. dr Jelena Vojinović objašnjava za Insajder da je na porast zaraženih malim boginjama u Srbiji značajno uticao pad broja vakcinisane dece MMR vakcinom https://t.co/FYKdaY0HPs
15,2023-01-24 16:05:01+00:00,kravicamuuu,"@bora85 Pa do '80. i neke se primala jedna
Muž i ja smo '81. vadili smo IgG antitela ja imam preko granice on nema uopšte, pa je primio MMR
Znam da je i dalje savet, ako krene epidemija da se svi oko trudnice vakcinišu da bi nju zaštitili"
16,2023-01-24 08:21:41+00:00,amaterkam,"U Smederevu zaraženo 14 osoba sa malim boginjama i nijedna osoba nije vakcinisana MMR vakcinom, svaka čast roditeljima 👏"
17,2023-01-23 18:56:15+00:00,PraviUgao,"Veza MMR vakcine i autizma je naučno opovrgnuta. U Smederevu je epidemija malih boginja, obolelo je 14 ljudi, 9 dece. Vakcina MMR je posebno važna za dečake jer bolesti kao zauške dovode do steriliteta, dr Danica Grujičić, ministarka zdravlja 
https://t.co/8NYSYJzXPl"
18,2023-01-23 13:07:10+00:00,Tvita8,"@slobadoktor Doktore mi stariji znamo da se MMR daje još od 1971.god,ja je primila i ""preležala"" boginje kao i moj sin bez ikakvih posledica.
Kad je sin koji živi u Nemačkoj trebao poslovno da ide u Aziju nemački lekar pitao dal slučajno ima vakcionalni karton? Ja poslala a on rekao odlično"
19,2023-01-22 21:31:21+00:00,Nakostresen1,"@BabaStamena Sta vam nije jasno?Imam prijatelja  cije je dete obolelo od autizama posle mmr vakcine.Nije vam dovoljno sto ljudi imaju velike zdravstvene probleme posle fajzera za kovid?Umiru,zgrusava im se krv,otkazuju organi...Kome treba zdrav covek?Farmaciji ne treba,nema koristi."
