,Date,User,Tweet
0,2023-02-17 21:18:29+00:00,RTVojvodine,"Родитељи, вакцинишите децу ММР вакцином и спречите епидемију пред вратима! https://t.co/XTCIUmeRet #rtv #rtvojvodine #vest"
1,2023-01-19 10:15:28+00:00,vezakvezla,"не подржавам избегавање вакцина, посебно ммр, треба причати о последицама тих болести по децу и чињеници да се број оболелих повећава, али не ширите толику панику 

извештај за болести за које постоје вакцине https://t.co/4YWARPzXXI"
2,2023-01-17 10:21:57+00:00,RTVojvodine,"Српско лекарско друштво: Заштитите децу ММР вакцином без оклевања, Србија на прагу епидемије
https://t.co/FF3mNHsdab"
3,2023-01-15 15:21:55+00:00,OhVejtVejt,"""Ја сам имао срећу да мале богиње прележим"", рече др Срђа Јанковић, само не знам како је преживео ту ""тешку"" болест, због које већ годинама агитује за злогласну ММР, али и друге вакцине, од којих ниједна не даје доживотни имунитет, а све имају нуспојаве."
4,2023-01-14 13:55:38+00:00,bez_osobenosti,"@Grracciell @bilopaprosl Вариола искорењена вакцином, морбили (мале богиње) постоји вакцина и могуће их лако искоренити да нема авакс идиотизма. За вричелу постоји вакцина, недовољно искоришћена, рубеола се такође може искоренити, кад би се ММР користила адекватн. А ако допустите, кратка прича о аваксима https://t.co/VOXq6Wlk4h"
5,2023-01-14 13:21:04+00:00,Jovana1244,"одговоран за ""враћање"" микроба који чуче иза ћошка, где су епидемије заушки и црвенке које исто треба да спречи ММР вакцина?

6. Уколико су сада оболела деца која  још нису ""стасала"" за вакцину ММР, шта је са имунитетом њихових мајки који је требало да их заштити 👇"
6,2023-01-13 10:23:05+00:00,tetkaMatilda,"@ROLERSproject Мене занима имајући у виду да је ММР за морбиле, заушке и рубеоле, како само се јавља епидемија морбила, а не остале 2 болести?"
7,2023-01-12 22:00:09+00:00,_artistic_soul,"@MalcolmMcX @Jovana1244 Ствара се лажна епидемија па се врши притисак да се невакцинисана деца вакцинишу ММР вакцином, уз претњу центара за социјални рад.

Док постоје негативне реакције на вакцину треба да постоји СЛОБОДА ИЗБОРА ПРИЛИКОМ ВАКЦИНАЦИЈЕ!!!
Вакцинација мора да буде добровољна као и у ЕУ"
8,2023-01-12 21:43:44+00:00,tetkaMatilda,"@beolily @svevidojka @biljanicaaa Какав је то закључак, слаб одазив на ММР, мора да је и на БСГ. За твоју информацију обухват БСГ је 98.2%. Тако да то што нападате тзв. антиваксере је чиста злоба. И ниједна вакцина не пружа 100% заштиту нити за цео живот. И сваке године има оболелих од туберкулозе."
9,2023-01-12 19:02:19+00:00,Jovana1244,"Доказ да медији праве синхронизовану хистерију на дугме

Током 2020.  било је 3 случаја оболевања од болести које треба да превенира ММР вакцина, али нити смо за то знали, нити се развила масовна епидемија.

Током 2021.било је пет случајева оболевања од ових болести и ништа 👇 https://t.co/efX2wQgpcB"
10,2023-01-12 17:37:00+00:00,BaticaZemun,@adzo83 Мале богиње су одавно у свеобухватним ваксованим земљама честа појава. Смрдљива ммр и бесеже вакцина не спречавају ништа мајмуне. Зашто неваксована деца немају туберкулозу балване?
11,2023-01-12 10:04:09+00:00,tetkaMatilda,"@Magarac8 И даље ми није јасно, како се не враћа вариола вера, а нико се не вакцинише против ње? 
Како увек имамо епидемију морбила, а не заушки пошти је ММР вакцина против морбила, заушки и рубеола? Значи, ширењем панике и лов на децу."
