,Date,User,Tweet
0,2023-02-18 08:07:01+00:00,smiljkovic_76,"Јебала вас обавезна вакцинација,да вас јебала и пумпање разноразних епидем..Звали из ДЗ, колегиницу (има бебу од 15 месеци)мала је имала неку бактеријску инфекцију,дуже се лечила,пао јој хемоглобин,црп повишен..Може да се вакцинише нема везе(ММР).И сада има температуру пет дана😡"
1,2023-02-06 09:20:46+00:00,ZivimZaSrbiju1,"У извештају "" Унапређење рутинске имунизације - допунска имунизација пропуштених годишта ММР вакцином"", пише да током ""надзорних посета Института за јавно здравље Бaтут"", разматрано је ""налажење породице на пријављеној адреси"".
⬇️ https://t.co/BRj3v3n95e"
2,2023-01-27 09:09:19+00:00,IfX0NsFyHIaZbnm,"@ja_diana_ трајне контраиндикације.
Заразне болести против којих се спроводи обавезна активна имунизација особа одређеног узраста су:
1) туберкулоза;
2) дифтерија;
3) тетанус;
4) полиомијелитис;
5) велики кашаљ;
6) мале богиње;
7) рубеола;
8) заушке;
9) хепатитис Б;
👇"
3,2023-01-26 19:15:02+00:00,tile111,"@mamasita228 @_225883 И да и нешто што не разумемо или не можемо да објаснимо налазимо оправдање у ММР вакцинама,ја сам прележао из истог разлога али моја деца и унуци немају никаквих промена после вакцинације"
4,2023-01-25 14:05:24+00:00,RTVojvodine,"Педијатри апелују на вакцинацију ММР-ом и спремни су да родитељима реше све недоумице
https://t.co/Oz4cU5O8aP"
5,2023-01-23 09:24:58+00:00,RTVojvodine,Обухват имунизације ММР вакцином у Новом Саду једва 25 одсто https://t.co/IqVFDVNZtl #vojvodina #NoviSad #RTVojvodine
6,2023-01-17 09:29:19+00:00,vkomad1,"@opetimamproblem Да ли знате да је у сред те приче, Тони Блер, тадашњи ПМ, одбио да одговори да ли су његова деца примила ММР? Рекао је да је то ПРИВАТНА ствар, да то није за јавност. Успут у УК вакцинација НИЈЕ обавезна, доста родитеља одбија да вакцинише децу и нико не драми због тога."
7,2023-01-16 10:42:47+00:00,RoxyAntique,"@kristinna_vel Да е проблемот стварно страшен,кога нема вакцинација веќе требаше да има ехеее умрени ,според твојава логика оти нели живи сме благодарејќи на вакцина ММР😸 (која како кажав, почна да се дава крај на 80тите)"
8,2023-01-14 15:56:43+00:00,evrotaliban,@baneraicevic Вакцина против туберколозе се прима по рођењу и ту је проценат вакцинације скоро 100% јер се вакцина често прими већ у породилишту. Једина вакцина која са којом код нас постоји проблем је ММР где један значајан број деце није вакцинисан али та вакцина нема везе са туберколозом.
9,2023-01-14 14:08:56+00:00,AleGo0891,"@Jovana1244 Као што се да видети према вашој табели, последњи пут је имунизација изнад 95% била 2011. године, после тога креће нагли пад (у исто време кад се креће са агендом против ММР вакцина), па је 2015. године већ пала на 85%, а сад је вероватно још горе. И ето, појавиле се морбиле."
10,2023-01-14 11:54:44+00:00,rtv_kragujevac,"Батут: Мале богиње најчешће зими, решење вакцинација https://t.co/2tRGZ8fYuX"
11,2023-01-13 16:50:53+00:00,velikiagresor,"@javor_ivanjica Није било нормално да прележимо мале богиње него ""овчије богиње"", односно варичелу. Мале богиње нико није имао јер их није ни било, а за вакцину против тога, туберкулозе, дечије парализе итд се не сећам да те је ико ишта питао него је само ишла цела школа на вакцинацију"
12,2023-01-13 16:02:57+00:00,AndejevicAndrey,"@Aleksan28227411 Баш си ме почастио комплиментом да сам био ""један од јачих..."". За време Короне, предлагао сам вакцинацију Синофарм вакцином, или ко је могао да дође до ""Чумаков"" вакцине. Остало НЕ. Имао сам релевантне и директне об. податке. Због ММР сам судски прекршајно осуђен."
13,2023-01-13 15:36:35+00:00,IfX0NsFyHIaZbnm,@RomilBg @baneraicevic @GospodinNebojsa Или си био вакцинисан или су биле овчије. На жалост тек кад буде епидемија људи ће схватити шта су мале богиње. Нисмо их касније добијали или врло ретко због масовне вакцинације. Мој колега рече то исто и ја мо кажем исто. Проверио и биле су рубеоле које подсећају на мале.
14,2023-01-13 12:51:15+00:00,Diogen23937884,Како је или зашто је битно постићи имунитет од 95%  вакцинацијом ММР-ом само код деце када огромна већина одраслих није примила ову вакцину. О каквом се онда колективном имунитету ту може радити. И ђе ба запело са вакцинацијом здрав.радника? И за њих је ова вакцина обавезна.
15,2023-01-13 10:58:23+00:00,mamasita228,"@VeraDespotovic @alexaalexandar1 Пробај да се упознаш са ""пар"" педијатара. Има их који су за опрез приликом вакцинације, а нарочито за чекање да дете напуни 3 године да би добило ММР. А календар вакцинације су померили на узраст од 1 године. Зашто? Био је на 2 године, до недавно."
16,2023-01-13 09:51:23+00:00,Zzzzzeza,Зна ли се каквог удела оне четири спорне лабораторије у Србији имају у поспешивању вакцинације ММР-ом?
17,2023-01-12 22:00:09+00:00,_artistic_soul,"@MalcolmMcX @Jovana1244 Ствара се лажна епидемија па се врши притисак да се невакцинисана деца вакцинишу ММР вакцином, уз претњу центара за социјални рад.

Док постоје негативне реакције на вакцину треба да постоји СЛОБОДА ИЗБОРА ПРИЛИКОМ ВАКЦИНАЦИЈЕ!!!
Вакцинација мора да буде добровољна као и у ЕУ"
18,2023-01-12 21:45:31+00:00,Jovana1244,"Такође, уведена имунизација запослених у 
здравственим установама није реализована у потребном обиму и поред обезбеђених ММР доза👇"
19,2023-01-12 15:47:34+00:00,marcusa38668771,"@trinsisistem @najdanovictam Мале богиње спадају у тзв. дечије болести које се прележе у детињству и прођу без икакве вакцинације.  Туберкулоза је, осим у земљама Трећег света,  практично искорењена побољшањем услова живота а евентуална вакцинација (против бактерија?!) не спречава ""заразу""."
20,2023-01-12 12:24:23+00:00,_artistic_soul,"(2/2)
... као и да ће се СПРОВЕСТИ њихова вакцинација ММР вакцином.

28.12. 22. тик пред Нову годину, Институт за јавно здравље Батут радио је на ""унапређењу рутинске имунизације"" и као меру предложио укључивање центара за социјални рад у ""унапређењу обухвата ММР вакцином""."
21,2023-01-03 23:24:30+00:00,IgorJaramaz,"@JelenaZarkovic5 Баш су се све државе прославиле током Ковида и вакцинације.

А није свеједно уз приче о повезаности ММР и аутизма. Чак и лекари стрепе и одлажу до краја / повољног трена ту вакцину."
